N_value,P_value,K_value,Fertilizer
1.18,         18.00,         0.70,         50
1.93,         13.00,         0.59,         40
1.17,         11.00,         0.40,         40
2.40,         12.00,         0.50,         20
1.16,         18.00,         0.68,         50
2.32,         16.00,         0.30,         20
1.23,         18.00,         0.38,         40
1.01,         16.00,         0.55,         40
1.81,         12.00,         0.43,         40
1.31,         19.00,         0.43,         40
1.10,         17.00,         0.58,         40
1.85,         15.00,         0.54,         40
1.78,         12.00,         0.44,         40
1.99,         18.00,         0.69,         50
1.66,         16.00,         0.33,         40
1.76,         17.00,         0.66,         50
1.48,         11.00,         0.61,         50
1.86,         18.00,         0.66,         50
2.20,         17.00,         0.48,         20
1.82,         15.00,         0.67,         50
1.19,         13.00,         0.41,         40
2.18,         10.00,         0.54,         20
1.00,         11.00,         0.70,         90
1.41,         12.00,         0.60,         50
2.35,         16.00,         0.42,         20
2.27,         18.00,         0.58,         20
2.31,         12.00,         0.40,         20
2.08,         12.00,         0.70,         20
2.04,         19.00,         0.41,         20
1.11,         16.00,         0.61,         50
2.25,         15.00,         0.58,         20
1.32,         11.00,         0.67,         50
1.44,         15.00,         0.39,         40
2.38,         14.00,         0.67,         20
1.81,         13.00,         0.49,         40
1.72,         13.00,         0.52,         40
1.83,         17.00,         0.60,         40
2.03,         19.00,         0.32,         40
1.80,         19.00,         0.56,         40
1.00,         12.00,         0.61,         50
2.27,         10.00,         0.44,         20
1.92,         18.00,         0.48,         40
1.06,         11.00,         0.52,         40
1.96,         19.00,         0.39,         40
1.32,         12.00,         0.56,         40
1.80,         12.00,         0.43,         40
1.26,         12.00,         0.72,         50
0.97,         10.00,         0.65,         90
1.59,         11.00,         0.61,         50
1.30,         18.00,         0.68,         50
1.89,         17.00,         0.24,         35
1.47,         17.00,         0.61,         50
2.32,         10.00,         0.20,         20
0.70,         11.00,         0.65,         90
0.61,         19.00,         0.41,         80
1.04,         16.00,         0.32,         40
2.32,         12.00,         0.17,         50
1.65,         16.00,         0.56,         40
0.91,         11.00,         0.63,         90
1.33,         16.00,         0.65,         50
1.93,         13.00,         0.24,         35
0.45,         17.00,         0.57,         100
0.83,         12.00,         0.26,         60
0.86,         16.00,         0.30,         60
2.07,         11.00,         0.47,         80
0.37,         17.00,         0.46,         100
1.95,         14.00,         0.28,         35
2.34,         10.00,         0.59,         20
2.28,         12.00,         0.48,         20
0.35,         14.00,         0.44,         100
1.76,         19.00,         0.27,         35
0.51,         10.00,         0.26,         60
0.98,         10.00,         0.44,         80
1.25,         19.00,         0.63,         50
0.88,         11.00,         0.22,         60
2.39,         14.00,         0.38,         20
0.38,         11.00,         0.57,         100
1.60,         18.00,         0.41,         40
0.40,         19.00,         0.23,         110
0.35,         13.00,         0.53,         100
1.72,         18.00,         0.31,         40
0.51,         11.00,         0.44,         80
0.54,         13.00,         0.17,         110
2.05,         11.00,         0.13,         110
1.22,         12.00,         0.26,         35
1.47,         12.00,         0.37,         40
1.01,         15.00,         0.72,         50
1.83,         18.00,         0.22,         35
1.79,         10.00,         0.31,         40
1.62,         16.00,         0.58,         40
1.94,         10.00,         0.62,         50
1.93,         16.00,         0.35,         40
1.55,         10.00,         0.64,         50
1.09,         16.00,         0.65,         50
2.05,         11.00,         0.64,         50
0.57,         18.00,         0.28,         60
1.23,         15.00,         0.69,         50
1.14,         17.00,         0.17,         60
1.78,         16.00,         0.41,         40
1.21,         16.00,         0.56,         40
2.29,         17.00,         0.63,         20
0.85,         10.00,         0.28,         60
0.38,         14.00,         0.45,         100
0.73,         10.00,         0.21,         80
0.70,         18.00,         0.15,         110
0.57,         12.00,         0.56,         80
1.07,         16.00,         0.43,         40
0.91,         10.00,         0.50,         80
2.34,         17.00,         0.18,         50
2.10,         10.00,         0.54,         20
1.07,         16.00,         0.42,         40
2.21,         17.00,         0.68,         20
0.80,         18.00,         0.48,         80
0.44,         18.00,         0.25,         110
1.48,         14.00,         0.62,         50
1.33,         18.00,         0.45,         40
1.56,         14.00,         0.53,         40
0.92,         11.00,         0.31,         80
0.43,         12.00,         0.72,         100
1.02,         11.00,         0.42,         40
0.30,         14.00,         0.40,         100
1.20,         10.00,         0.39,         40
0.57,         14.00,         0.15,         110
1.01,         10.00,         0.29,         35
1.93,         17.00,         0.15,         60
2.03,         11.00,         0.20,         60
1.90,         16.00,         0.71,         50
2.06,         10.00,         0.44,         40
2.14,         15.00,         0.67,         20
1.92,         11.00,         0.55,         40
2.35,         14.00,         0.55,         20
1.94,         19.00,         0.51,         40
